pokemon_id,base_xp,height,weight,abilities
1,64,7,69,overgrow
1,64,7,69,chlorophyll
2,142,10,130,overgrow
2,142,10,130,chlorophyll
3,236,20,1000,overgrow
3,236,20,1000,chlorophyll
4,62,6,85,blaze
4,62,6,85,solar-power
5,142,11,190,blaze
5,142,11,190,solar-power
6,240,17,905,blaze
6,240,17,905,solar-power
7,63,5,90,torrent
7,63,5,90,rain-dish
8,142,10,225,torrent
8,142,10,225,rain-dish
9,239,16,855,torrent
9,239,16,855,rain-dish
10,39,3,29,shield-dust
10,39,3,29,run-away
11,72,7,99,shed-skin
12,178,11,320,compound-eyes
12,178,11,320,tinted-lens
13,39,3,32,shield-dust
13,39,3,32,run-away
14,72,6,100,shed-skin
15,178,10,295,swarm
15,178,10,295,sniper
16,50,3,18,keen-eye
16,50,3,18,tangled-feet
16,50,3,18,big-pecks
17,122,11,300,keen-eye
17,122,11,300,tangled-feet
17,122,11,300,big-pecks
18,216,15,395,keen-eye
18,216,15,395,tangled-feet
18,216,15,395,big-pecks
19,51,3,35,run-away
19,51,3,35,guts
19,51,3,35,hustle
20,145,7,185,run-away
20,145,7,185,guts
20,145,7,185,hustle
21,52,3,20,keen-eye
21,52,3,20,sniper
22,155,12,380,keen-eye
22,155,12,380,sniper
23,58,20,69,intimidate
23,58,20,69,shed-skin
23,58,20,69,unnerve
24,157,35,650,intimidate
24,157,35,650,shed-skin
24,157,35,650,unnerve
25,112,4,60,static
25,112,4,60,lightning-rod
26,218,8,300,static
26,218,8,300,lightning-rod
27,60,6,120,sand-veil
27,60,6,120,sand-rush
28,158,10,295,sand-veil
28,158,10,295,sand-rush
29,55,4,70,poison-point
29,55,4,70,rivalry
29,55,4,70,hustle
30,128,8,200,poison-point
30,128,8,200,rivalry
30,128,8,200,hustle
31,227,13,600,poison-point
31,227,13,600,rivalry
31,227,13,600,sheer-force
32,55,5,90,poison-point
32,55,5,90,rivalry
32,55,5,90,hustle
33,128,9,195,poison-point
33,128,9,195,rivalry
33,128,9,195,hustle
34,227,14,620,poison-point
34,227,14,620,rivalry
34,227,14,620,sheer-force
35,113,6,75,cute-charm
35,113,6,75,magic-guard
35,113,6,75,friend-guard
36,217,13,400,cute-charm
36,217,13,400,magic-guard
36,217,13,400,unaware
37,60,6,99,flash-fire
37,60,6,99,drought
38,177,11,199,flash-fire
38,177,11,199,drought
39,95,5,55,cute-charm
39,95,5,55,competitive
39,95,5,55,friend-guard
40,196,10,120,cute-charm
40,196,10,120,competitive
40,196,10,120,frisk
41,49,8,75,inner-focus
41,49,8,75,infiltrator
42,159,16,550,inner-focus
42,159,16,550,infiltrator
43,64,5,54,chlorophyll
43,64,5,54,run-away
44,138,8,86,chlorophyll
44,138,8,86,stench
45,221,12,186,chlorophyll
45,221,12,186,effect-spore
46,57,3,54,effect-spore
46,57,3,54,dry-skin
46,57,3,54,damp
47,142,10,295,effect-spore
47,142,10,295,dry-skin
47,142,10,295,damp
48,61,10,300,compound-eyes
48,61,10,300,tinted-lens
48,61,10,300,run-away
49,158,15,125,shield-dust
49,158,15,125,tinted-lens
49,158,15,125,wonder-skin
50,53,2,8,sand-veil
50,53,2,8,arena-trap
50,53,2,8,sand-force
51,149,7,333,sand-veil
51,149,7,333,arena-trap
51,149,7,333,sand-force
52,58,4,42,pickup
52,58,4,42,technician
52,58,4,42,unnerve
53,154,10,320,limber
53,154,10,320,technician
53,154,10,320,unnerve
54,64,8,196,damp
54,64,8,196,cloud-nine
54,64,8,196,swift-swim
55,175,17,766,damp
55,175,17,766,cloud-nine
55,175,17,766,swift-swim
56,61,5,280,vital-spirit
56,61,5,280,anger-point
56,61,5,280,defiant
57,159,10,320,vital-spirit
57,159,10,320,anger-point
57,159,10,320,defiant
58,70,7,190,intimidate
58,70,7,190,flash-fire
