pokemon_id,is_legendary,is_mythical,hatch_counter,generation,growth_rate,habitat,evolves_from,egg
1,False,False,20,generation-i,medium-slow,grassland,,monster
1,False,False,20,generation-i,medium-slow,grassland,,plant
2,False,False,20,generation-i,medium-slow,grassland,bulbasaur,monster
2,False,False,20,generation-i,medium-slow,grassland,bulbasaur,plant
3,False,False,20,generation-i,medium-slow,grassland,ivysaur,monster
3,False,False,20,generation-i,medium-slow,grassland,ivysaur,plant
4,False,False,20,generation-i,medium-slow,mountain,,monster
4,False,False,20,generation-i,medium-slow,mountain,,dragon
5,False,False,20,generation-i,medium-slow,mountain,charmander,monster
5,False,False,20,generation-i,medium-slow,mountain,charmander,dragon
6,False,False,20,generation-i,medium-slow,mountain,charmeleon,monster
6,False,False,20,generation-i,medium-slow,mountain,charmeleon,dragon
7,False,False,20,generation-i,medium-slow,waters-edge,,monster
7,False,False,20,generation-i,medium-slow,waters-edge,,water1
8,False,False,20,generation-i,medium-slow,waters-edge,squirtle,monster
8,False,False,20,generation-i,medium-slow,waters-edge,squirtle,water1
9,False,False,20,generation-i,medium-slow,waters-edge,wartortle,monster
9,False,False,20,generation-i,medium-slow,waters-edge,wartortle,water1
10,False,False,15,generation-i,medium,forest,,bug
11,False,False,15,generation-i,medium,forest,caterpie,bug
12,False,False,15,generation-i,medium,forest,metapod,bug
13,False,False,15,generation-i,medium,forest,,bug
14,False,False,15,generation-i,medium,forest,weedle,bug
15,False,False,15,generation-i,medium,forest,kakuna,bug
16,False,False,15,generation-i,medium-slow,forest,,flying
17,False,False,15,generation-i,medium-slow,forest,pidgey,flying
18,False,False,15,generation-i,medium-slow,forest,pidgeotto,flying
19,False,False,15,generation-i,medium,grassland,,ground
20,False,False,15,generation-i,medium,grassland,rattata,ground
21,False,False,15,generation-i,medium,rough-terrain,,flying
22,False,False,15,generation-i,medium,rough-terrain,spearow,flying
23,False,False,20,generation-i,medium,grassland,,ground
23,False,False,20,generation-i,medium,grassland,,dragon
24,False,False,20,generation-i,medium,grassland,ekans,ground
24,False,False,20,generation-i,medium,grassland,ekans,dragon
25,False,False,10,generation-i,medium,forest,pichu,ground
25,False,False,10,generation-i,medium,forest,pichu,fairy
26,False,False,10,generation-i,medium,forest,pikachu,ground
26,False,False,10,generation-i,medium,forest,pikachu,fairy
27,False,False,20,generation-i,medium,rough-terrain,,ground
28,False,False,20,generation-i,medium,rough-terrain,sandshrew,ground
29,False,False,20,generation-i,medium-slow,grassland,,monster
29,False,False,20,generation-i,medium-slow,grassland,,ground
30,False,False,20,generation-i,medium-slow,grassland,nidoran-f,no-eggs
31,False,False,20,generation-i,medium-slow,grassland,nidorina,no-eggs
32,False,False,20,generation-i,medium-slow,grassland,,monster
32,False,False,20,generation-i,medium-slow,grassland,,ground
33,False,False,20,generation-i,medium-slow,grassland,nidoran-m,monster
33,False,False,20,generation-i,medium-slow,grassland,nidoran-m,ground
34,False,False,20,generation-i,medium-slow,grassland,nidorino,monster
34,False,False,20,generation-i,medium-slow,grassland,nidorino,ground
35,False,False,10,generation-i,fast,mountain,cleffa,fairy
36,False,False,10,generation-i,fast,mountain,clefairy,fairy
37,False,False,20,generation-i,medium,grassland,,ground
38,False,False,20,generation-i,medium,grassland,vulpix,ground
39,False,False,10,generation-i,fast,grassland,igglybuff,fairy
40,False,False,10,generation-i,fast,grassland,jigglypuff,fairy
41,False,False,15,generation-i,medium,cave,,flying
42,False,False,15,generation-i,medium,cave,zubat,flying
43,False,False,20,generation-i,medium-slow,grassland,,plant
44,False,False,20,generation-i,medium-slow,grassland,oddish,plant
45,False,False,20,generation-i,medium-slow,grassland,gloom,plant
46,False,False,20,generation-i,medium,forest,,bug
46,False,False,20,generation-i,medium,forest,,plant
47,False,False,20,generation-i,medium,forest,paras,bug
47,False,False,20,generation-i,medium,forest,paras,plant
48,False,False,20,generation-i,medium,forest,,bug
49,False,False,20,generation-i,medium,forest,venonat,bug
50,False,False,20,generation-i,medium,cave,,ground
51,False,False,20,generation-i,medium,cave,diglett,ground
52,False,False,20,generation-i,medium,urban,,ground
53,False,False,20,generation-i,medium,urban,meowth,ground
54,False,False,20,generation-i,medium,waters-edge,,water1
54,False,False,20,generation-i,medium,waters-edge,,ground
55,False,False,20,generation-i,medium,waters-edge,psyduck,water1
55,False,False,20,generation-i,medium,waters-edge,psyduck,ground
56,False,False,20,generation-i,medium,mountain,,ground
57,False,False,20,generation-i,medium,mountain,mankey,ground
58,False,False,20,generation-i,slow,grassland,,ground
59,False,False,20,generation-i,slow,grassland,growlithe,ground
60,False,False,20,generation-i,medium-slow,waters-edge,,water1
61,False,False,20,generation-i,medium-slow,waters-edge,poliwag,water1
